"","stream","start_date","end_date","mean_flow","sd_flow","deployment","days_in_record"
"66","WS08",2018-04-06,2018-06-06,597.427419367742,539.521452456608,"8",62
"67","WS08",2018-05-09,2018-07-05,577.032487248276,543.574083956429,"9",58
"68","WS08",2018-06-06,2018-08-03,379.670511620339,272.851247948616,"10",59
"69","WS08",2018-07-05,2018-08-31,363.964958496552,285.604895078946,"11",58
"70","WS08",2018-08-03,2018-09-28,309.768518521053,284.782726612163,"12",57
"71","WS13",2017-09-21,2017-11-15,2.05724206348214,1.44552982086807,"1",56
"72","WS13",2017-10-19,2017-12-11,2.10233196157407,1.07233727774192,"2a",54
"73","WS13",2017-10-19,2017-12-18,2.06854887672131,1.01231531260919,"2b",61
"74","WS13",2017-11-15,2018-01-05,1.95733618228846,0.415465623354275,"3",52
"75","WS13",2017-12-11,2018-02-08,3.0130555555,1.46139631110463,"4a",60
"76","WS13",2017-12-18,2018-02-08,3.17582110407547,1.48036039383146,"4b",53
"77","WS13",2018-01-11,2018-03-08,7.60396361261404,7.34258319703209,"5",57
"78","WS13",2018-02-08,2018-04-06,8.6292145592931,6.72545523636628,"6",58
"79","WS13",2018-03-08,2018-05-09,6.24429747211111,1.18431495757912,"7",63
"80","WS13",2018-04-06,2018-06-06,8.43590203119355,5.89013401157451,"8",62
"81","WS13",2018-05-09,2018-07-05,8.88154533860345,5.9611731561167,"9",58
"82","WS13",2018-06-06,2018-08-03,6.64202762088136,3.56184280520361,"10",59
"83","WS13",2018-07-05,2018-08-31,6.19996807148276,3.68687785383768,"11",58
"84","WS13",2018-08-03,2018-09-28,5.33424301496491,3.79290239186529,"12",57
"85","WS14",2017-09-21,2017-11-15,9.04737516532143,6.6325929517729,"1",56
"86","WS14",2017-10-19,2017-12-11,9.26727752053704,4.80926209087157,"2a",54
"87","WS14",2017-10-19,2017-12-18,9.06956018516393,4.55539180225274,"2b",61
"88","WS14",2017-11-15,2018-01-05,8.26734107923077,1.71491558239069,"3",52
"89","WS14",2017-12-11,2018-02-08,12.2907233799833,6.32703937608383,"4a",60
"90","WS14",2017-12-18,2018-02-08,12.9208049444906,6.47584438305864,"4b",53
"91","WS14",2018-01-11,2018-03-08,31.3768254547368,28.7063242699947,"5",57
"92","WS14",2018-02-08,2018-04-06,35.437625717931,26.105695235629,"6",58
"93","WS14",2018-03-08,2018-05-09,24.3592078184127,4.46911295337982,"7",63
"94","WS14",2018-04-06,2018-06-06,33.9399044198387,26.5061180267523,"8",62
"95","WS14",2018-05-09,2018-07-05,37.2832555074138,26.512534080389,"9",58
"96","WS14",2018-06-06,2018-08-03,27.1894911335593,13.3427362571932,"10",59
"97","WS14",2018-07-05,2018-08-31,23.147182312069,12.9616456949137,"11",58
"98","WS14",2018-08-03,2018-09-28,18.9257553605263,13.1040547961414,"12",57
"99","WS18",2017-09-21,2017-11-15,1.65466269842857,1.21439719811051,"1",56
"100","WS18",2017-10-19,2017-12-11,1.7341692387037,0.815396829368734,"2a",54
"101","WS18",2017-10-19,2017-12-18,1.70481936855738,0.771057698359801,"2b",61
"102","WS18",2017-11-15,2018-01-05,1.58139467594231,0.311508211528013,"3",52
"103","WS18",2017-12-11,2018-02-08,2.50859375008333,1.25585507761937,"4a",60
"104","WS18",2017-12-18,2018-02-08,2.64141989877358,1.27852541784624,"4b",53
"105","WS18",2018-01-11,2018-03-08,7.54083414589474,7.87850226892566,"5",57
"106","WS18",2018-02-08,2018-04-06,8.51913513755172,7.29657959200467,"6",58
"107","WS18",2018-03-08,2018-05-09,5.50226337447619,1.13623774105036,"7",63
"108","WS18",2018-04-06,2018-06-06,8.29538717108064,7.25284257011317,"8",62
"109","WS18",2018-05-09,2018-07-05,8.8572876752069,7.36913675641356,"9",58
"110","WS18",2018-06-06,2018-08-03,5.62751883244068,2.86343734923812,"10",59
"111","WS18",2018-07-05,2018-08-31,4.88402777786207,2.69717076223425,"11",58
"112","WS18",2018-08-03,2018-09-28,4.24020467850877,2.82699498306485,"12",57
"113","WS27",2017-09-21,2017-11-15,21.0703497007857,26.6669415814151,"1",56
"114","WS27",2017-10-19,2017-12-11,16.5103009247407,15.0662972908762,"2a",54
"115","WS27",2017-10-19,2017-12-18,15.4540755909672,14.4663576491804,"2b",61
"116","WS27",2017-11-15,2018-01-05,11.1738715279231,5.31570824214494,"3",52
"117","WS27",2017-12-11,2018-02-08,21.1760821768833,19.8358766068284,"4a",60
"118","WS27",2017-12-18,2018-02-08,22.985999739,20.4397501696441,"4b",53
"119","WS27",2018-01-11,2018-03-08,45.9113182263158,49.3289076978687,"5",57
"120","WS27",2018-02-08,2018-04-06,39.4712344341379,48.4079867049628,"6",58
"121","WS27",2018-03-08,2018-05-09,25.2029761895238,21.6871131642244,"7",63
"122","WS27",2018-04-06,2018-06-06,47.531832436129,63.6190424751041,"8",62
"123","WS27",2018-05-09,2018-07-05,39.1442887923621,65.5632626583183,"9",58
"124","WS27",2018-06-06,2018-08-03,19.2681085213051,35.6120141455277,"10",59
"125","WS27",2018-07-05,2018-08-31,23.3241977965345,37.0005981690075,"11",58
"126","WS27",2018-08-03,2018-09-28,18.9877923976842,36.2438666883895,"12",57
"127","WS31",2017-09-21,2017-11-15,7.79033151489286,3.7104658515503,"1",56
"128","WS31",2017-10-19,2017-12-11,8.60508401944444,2.28682357894579,"2a",54
"129","WS31",2017-10-19,2017-12-18,8.43929493037705,2.19915087115859,"2b",61
"130","WS31",2017-11-15,2018-01-05,7.850164708,0.767201839062255,"3",52
"131","WS31",2017-12-11,2018-02-08,10.34855324055,3.47002799439155,"4a",60
"132","WS31",2017-12-18,2018-02-08,10.7739430466226,3.47572127817941,"4b",53
"133","WS31",2018-01-11,2018-03-08,22.6833049063158,15.5840801816088,"5",57
"134","WS31",2018-02-08,2018-04-06,24.7385416672414,14.0944128775005,"6",58
"135","WS31",2018-03-08,2018-05-09,18.2164094650794,4.59192675453174,"7",63
"136","WS31",2018-04-06,2018-06-06,26.0341061833871,18.8342917190569,"8",62
"137","WS31",2018-05-09,2018-07-05,27.5819165074138,19.0823685236952,"9",58
"138","WS31",2018-06-06,2018-08-03,18.5686715315254,9.84595592800004,"10",59
"139","WS31",2018-07-05,2018-08-31,16.908405172069,8.77027202901292,"11",58
"140","WS31",2018-08-03,2018-09-28,15.2433195253509,9.24267250118108,"12",57
"141","WS32",2017-09-21,2017-11-15,12.2893229167857,6.68572120398255,"1",56
"142","WS32",2017-10-19,2017-12-11,12.2173075274074,4.00431678561627,"2a",54
"143","WS32",2017-10-19,2017-12-18,11.9394296446885,3.84382142326014,"2b",61
"144","WS32",2017-11-15,2018-01-05,10.6722467055577,1.13779137704257,"3",52
"145","WS32",2017-12-11,2018-02-08,14.00311342635,5.27205734024532,"4a",60
"146","WS32",2017-12-18,2018-02-08,14.561482355566,5.36727413971902,"4b",53
"147","WS32",2018-01-11,2018-03-08,30.1415935680702,21.5561582642909,"5",57
