"","stream","start_date","end_date","mean_temp","sd_temp","deployment","days_in_record"
"66","WS08",2018-04-06,2018-06-06,12.9258166707296,2.24149287309806,"8",64
"67","WS08",2018-05-09,2018-07-05,15.700850933908,1.00782721827884,"9",60
"68","WS08",2018-06-06,2018-08-03,16.8539055437853,0.796760576481962,"10",61
"69","WS08",2018-07-05,2018-08-31,17.1454301900585,0.448875913521462,"11",59
"70","WS08",2018-08-03,2018-09-28,16.6995414302373,0.586592326231277,"12",57
"71","WS13",2017-09-21,2017-11-15,13.7672902715774,2.6005706183782,"1",56
"72","WS13",2017-10-19,2017-12-11,9.96592785493827,2.31470388763829,"2a",54
"73","WS13",2017-10-19,2017-12-18,9.35556898907104,2.77067217663532,"2b",61
"74","WS13",2017-11-15,2018-01-05,6.72963181089744,2.5524888040775,"3",52
"75","WS13",2017-12-11,2018-02-08,4.92379739583333,2.18781462247659,"4a",60
"76","WS13",2017-12-18,2018-02-08,4.97942472484277,2.32284132122549,"4b",53
"77","WS13",2018-01-11,2018-03-08,7.68420183310841,3.07099210406236,"5",57
"78","WS13",2018-02-08,2018-04-06,9.97728008791234,2.18345661157803,"6",58
"79","WS13",2018-03-08,2018-05-09,10.641837885168,2.12059200852289,"7",63
"80","WS13",2018-04-06,2018-06-06,12.9282826433085,1.96538392699624,"8",62
"81","WS13",2018-05-09,2018-07-05,15.3821522988506,0.92761439801202,"9",58
"82","WS13",2018-06-06,2018-08-03,16.4875688559322,0.778626843385124,"10",59
"83","WS13",2018-07-05,2018-08-31,16.850775862069,0.412821702276569,"11",58
"84","WS13",2018-08-03,2018-09-28,17.1101336552818,0.569547382635153,"12",57
"85","WS14",2017-09-21,2017-11-15,13.6899210379464,2.93332583410002,"1",56
"86","WS14",2017-10-19,2017-12-11,9.52014641203704,2.53894586960032,"2a",54
"87","WS14",2017-10-19,2017-12-18,8.85685638661202,3.02899312316256,"2b",61
"88","WS14",2017-11-15,2018-01-05,6.00130849358974,2.7708515372694,"3",52
"89","WS14",2017-12-11,2018-02-08,3.97576545138889,2.3083764172542,"4a",60
"90","WS14",2017-12-18,2018-02-08,4.02677594339623,2.45135874523923,"4b",53
"91","WS14",2018-01-11,2018-03-08,7.08042387218045,3.45027021286546,"5",57
"92","WS14",2018-02-08,2018-04-06,9.66584288929454,2.38802826689894,"6",58
