"","stream","start_date","end_date","mean_nh4.mgl","sd_nh4.mgl","N_nh4.mgl","mean_no3.mgl","sd_no3.mgl","N_no3.mgl","mean_po4.mgl","sd_po4.mgl","N_po4.mgl","mean_din.mgl","sd_din.mgl","N_din.mgl","deployment"
"97","WS07",2019-05-08,2019-07-10,0.00344444444444444,0.00123603308118261,9,0.0663923625555556,0.00733144439768855,9,0.00438859233333333,0.000662884135331922,9,0.069836807,0.0073252914398419,9,9
"98","WS07",2019-06-05,2019-08-07,0.00322222222222222,0.00130170827931778,9,0.0656535207777778,0.00720609987066599,9,0.00427849077777778,0.00061894882462906,9,0.068875743,0.00702441285101951,9,10
"99","WS07",2019-07-10,2019-08-30,0.00285714285714286,0.000899735410842437,7,0.0626535422857143,0.0114539042144062,7,0.00504581071428571,0.00184084856733887,7,0.0655106851428571,0.0119264111949441,7,11
"100","WS08",2018-08-31,2018-11-02,0.00322222222222222,0.00263523138347365,9,0.0114605585555556,0.00723017084541467,9,0.00259756133333333,0.00120053785432728,9,0.0146827807777778,0.00725588947824806,9,1
"101","WS08",2018-09-28,2018-12-05,0.0027,0.00266874918683308,10,0.00437,0.00584352443117831,10,0.002395104,0.000969234900408794,10,0.00707,0.00683000732064029,10,2
"102","WS08",2018-11-02,2019-01-07,0.00234985533333333,0.00130494857690102,9,0.00347469011111111,0.00299031815853767,9,0.002091012,0.000343533134927331,9,0.00582454544444444,0.00401312524434103,9,3
"103","WS08",2018-12-05,2019-02-06,0.00268318866666667,0.00109110003590688,9,0.00818565888888889,0.00253669774435936,9,0.00198138988888889,5.06700224946773e-05,9,0.0108688475555556,0.00284968670644608,9,4
"104","WS08",2019-01-07,2019-03-06,0.00211111111111111,0.000600925212577332,9,0.0118165168888889,0.00440477383499449,9,0.00202485833333333,6.5651884649262e-05,9,0.013927628,0.00443480737195439,9,5
"105","WS08",2019-02-06,2019-04-03,0.002125,0.000991031208965115,8,0.012622308625,0.00428016814432173,8,0.002029803,6.29353923729951e-05,8,0.014747308625,0.00421557113832017,8,6
"106","WS08",2019-03-06,2019-05-08,0.00244444444444444,0.000881917103688197,9,0.013743327,0.00370906285126759,9,0.00212316522222222,0.000411891696456659,9,0.0161877714444444,0.00347436983673745,9,7
"107","WS08",2019-04-03,2019-06-05,0.00277777777777778,0.000833333333333333,9,0.0211227661111111,0.00744577346228178,9,0.00299786666666667,0.00116926678695198,9,0.0239005438888889,0.00772715595815301,9,8
"108","WS08",2019-05-08,2019-07-10,0.003,0.000707106781186548,9,0.0310833066666667,0.00796932664065042,9,0.00376175611111111,0.000733544891270883,9,0.0340833066666667,0.0079758925428682,9,9
"109","WS08",2019-06-05,2019-08-07,0.00355555555555556,0.00123603308118261,9,0.0355943461111111,0.00650091289048687,9,0.00388856277777778,0.000619844375329562,9,0.0391499016666667,0.00699119557361881,9,10
"110","WS08",2019-07-10,2019-08-30,0.00714285714285714,0.00839500985563391,7,0.0376854207142857,0.00599184447405935,7,0.00484590428571429,0.00190848151624834,7,0.0448282778571429,0.0126148617024819,7,11
"111","WS09",2018-08-31,2018-11-02,0.00049,0.000692964645562817,2,0.00913,0.0129117698244664,2,0.002205,0.000770746391493337,2,0.00962,0.0136047344700292,2,1
"112","WS09",2018-09-28,2018-12-05,0.00232666666666667,0.00321871610014511,3,0.00905666666666667,0.00913088349138972,3,0.00349,0.00229144059490967,3,0.0113833333333333,0.0100931874714251,3,2
"113","WS09",2018-11-02,2019-01-07,0.00253333333333333,0.00310698138606161,3,0.00529333333333333,0.00468566252875016,3,0.00432666666666667,0.00166055211701811,3,0.00782666666666667,0.00748274236716281,3,3
"114","WS09",2018-12-05,2019-02-06,0.0038,0.00311126983722081,2,0.00794,0.0013717871555019,2,0.005115,0.00133643181644257,2,0.01174,0.00448305699272271,2,4
"115","WS09",2019-01-07,2019-03-06,0.00299333333333333,0.00271310400341257,3,0.01417,0.00742977792400284,3,0.00336333333333333,0.000815127801840505,3,0.0171633333333333,0.00761420602120361,3,5
"116","WS09",2019-02-06,2019-04-03,0.00369,0.00343653895656662,2,0.01777,0.0057134227919873,2,0.00296,0.0005939696961967,2,0.02146,0.00227688383542068,2,6
"117","WS09",2019-03-06,2019-05-08,0.00288,0.00347573013912185,3,0.01583,0.0138450677138106,3,0.00258666666666667,0.000184481254693623,3,0.01871,0.0164589671607911,3,7
"118","WS09",2019-04-03,2019-06-05,0.002859571,0.00349016288618784,3,0.0152533333333333,0.0135032638029972,3,0.00250666666666667,0.000253837218179946,3,0.0181129043333333,0.0162529123047365,3,8
"119","WS09",2019-05-08,2019-07-10,0.00120505,8.96187134475835e-06,2,0.03048,0.0147078210486802,2,0.002605,0.000431335136523794,2,0.03168505,0.0147167829200249,2,9
"120","WS09",2019-06-05,2019-08-07,0.0026206935,0.00199306036584056,2,0.04086,2.82842712474607e-05,2,0.002835,0.000106066017177982,2,0.0434806935,0.0019647760945931,2,10
"121","WS09",2019-07-10,2019-08-30,0.0026206935,0.00199306036584056,2,0.04086,2.82842712474607e-05,2,0.002835,0.000106066017177982,2,0.0434806935,0.0019647760945931,2,11
"122","WS13",2018-08-31,2018-11-02,0.00188888888888889,0.000600925212577332,9,0.00356591122222222,0.00220549635261888,9,0.00196119211111111,4.77901928104617e-05,9,0.00545480011111111,0.00261196886047324,9,1
"123","WS13",2018-09-28,2018-12-05,0.0014,0.000516397779494322,10,0.00145,0.00141126420866777,10,0.0019763672,4.67217137238018e-05,10,0.00285,0.00170375402502174,10,2
"124","WS13",2018-11-02,2019-01-07,0.002,0.0013228756555323,9,0.000695443666666667,0.000236825128651923,9,0.00202605233333333,4.97568113050867e-05,9,0.00269544366666667,0.00135861487978051,9,3
