"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"23","C0023","R",4.94,3.68,2.0964,5.5986,2.3519,2017-09-21,2017-11-15,"WS01","","","","C0023/R/2017-09-21/2017-11-15/WS01",4.88375,4.6673292782884,0.927045856889955,3.41152875335503,73.0938091131661,"0023"
"24","C0024","R",5.02,3.65,2.1301,5.2704,2.3254,2017-09-21,2017-11-15,"WS01","","","","C0024/R/2017-09-21/2017-11-15/WS01",4.96375,4.74378412185391,0.937808489634748,3.42300098716683,72.1576045460748,"0024"
"25","C0025","R",5.03,3.74,2.0306,5.6695,2.217,2017-09-21,2017-11-15,"WS08","","","","C0025/R/2017-09-21/2017-11-15/WS08",4.97375,4.7533409772996,0.948775728929072,3.54842122619473,74.6510978938988,"0025"
"26","C0026","R",5.09,4.22,3.6494,7.6694,3.8968,2017-09-21,2017-11-15,"WS08","","","","C0026/R/2017-09-21/2017-11-15/WS08",5.03375,4.81068210997373,0.938457711442786,3.96029154228856,82.3228692263389,"0026"
"27","C0027","R",5.03,3.9,1.7497,5.6433,1.9932,2017-09-21,2017-11-15,"WS08","","","","C0027/R/2017-09-21/2017-11-15/WS08",4.97375,4.7533409772996,0.937461475241422,3.65609975344155,76.9164209111419,"0027"
"28","C0028","R",5.02,4.1,2.0921,5.078,2.2487,2017-09-21,2017-11-15,"WS08","","","","C0028/R/2017-09-21/2017-11-15/WS08",4.96375,4.74378412185391,0.947553501456847,3.88496935597307,81.8959981352355,"0028"
"29","C0029","R",4.92,3.59,1.7542,5.3353,1.9513,2017-09-21,2017-11-15,"WS13","","","","C0029/R/2017-09-21/2017-11-15/WS13",4.86375,4.64821556739702,0.944961045488816,3.39241015330485,72.9830642343592,"0029"
"30","C0030","R",4.99,4.36,3.6715,7.8716,4.0601,2017-09-21,2017-11-15,"WS13","","","","C0030/R/2017-09-21/2017-11-15/WS13",4.93375,4.71511355551684,0.907478393371586,3.95660579510012,83.9132663193393,"0030"
"31","C0031","R",4.99,4.54,3.6419,8.2275,3.8852,2017-09-21,2017-11-15,"WS13","","","","C0031/R/2017-09-21/2017-11-15/WS13",4.93375,4.71511355551684,0.946942602930914,4.29911941730635,91.1774311835234,"0031"
"32","C0032","R",4.95,4.69,1.7372,6.2158,2.0873,2017-09-21,2017-11-15,"WS13","","","","C0032/R/2017-09-21/2017-11-15/WS13",4.89375,4.67688613373409,0.921828249899522,4.32337449202876,92.4413032176373,"0032"
"33","C0033","R",5.03,3.98,1.9985,5.7852,2.2101,2017-09-21,2017-11-15,"WS27","","","","C0033/R/2017-09-21/2017-11-15/WS27",4.97375,4.7533409772996,0.944120210209417,3.75759843663348,79.0517333929659,"0033"
"34","C0034","R",5,3.78,3.6114,7.1189,3.7858,2017-09-21,2017-11-15,"WS27","","","","C0034/R/2017-09-21/2017-11-15/WS27",4.94375,4.72467041096253,0.950277975766215,3.59205074839629,76.0275413087387,"0034"
"35","C0035","R",5.07,4.24,1.7693,5.8624,2.0056,2017-09-21,2017-11-15,"WS27","","","","C0035/R/2017-09-21/2017-11-15/WS27",5.01375,4.79156839908236,0.942268696098312,3.99521927145684,83.3801991060375,"0035"
"36","C0036","R",5,4.04,1.7496,5.6778,1.9781,2017-09-21,2017-11-15,"WS27","","","","C0036/R/2017-09-21/2017-11-15/WS27",4.94375,4.72467041096253,0.941830864008961,3.8049966905962,80.5346481263024,"0036"
"37","C0037","R",5.01,3.89,1.7589,5.5505,1.9994,2017-09-21,2017-11-15,"WS18","","","","C0037/R/2017-09-21/2017-11-15/WS18",4.95375,4.73422726640822,0.93657031332419,3.6432585188311,76.955716610436,"0037"
"38","C0038","R",5.1,3.93,3.6544,7.5147,3.8998,2017-09-21,2017-11-15,"WS18","","","","C0038/R/2017-09-21/2017-11-15/WS18",5.04375,4.82023896541942,0.936429811154573,3.68016915783747,76.3482720304771,"0038"
"39","C0039","R",5.03,3.49,2.0971,5.4741,2.352,2017-09-21,2017-11-15,"WS18","","","","C0039/R/2017-09-21/2017-11-15/WS18",4.97375,4.7533409772996,0.924518803671898,3.22657062481492,67.8800582626824,"0039"
"40","C0040","R",5.01,3.72,2.048,5.6231,2.2619,2017-09-21,2017-11-15,"WS18","","","","C0040/R/2017-09-21/2017-11-15/WS18",4.95375,4.73422726640822,0.940169505748091,3.4974305613829,73.8754260108924,"0040"
"41","C0041","A",5.05,2.22,1.7389,3.5481,2.016,2017-09-21,2017-11-15,"WS06","","","","C0041/A/2017-09-21/2017-11-15/WS06",4.6975,4.47447587329694,0.846838381605129,1.87998120716339,42.0156742465158,"0041"
"42","C0042","A",4.94,2.64,2.0932,4.3609,2.3625,2017-09-21,2017-11-15,"WS13","","","","C0042/A/2017-09-21/2017-11-15/WS13",4.5875,4.36969836482166,0.881245314635975,2.32648763063897,53.2413781548037,"0042"
"43","C0043","A",4.92,2.51,3.5986,4.9289,3.7329,2017-09-21,2017-11-15,"WS13","","","","C0043/A/2017-09-21/2017-11-15/WS13",4.5675,4.35064790873524,0.899045328121476,2.25660377358491,51.8682233295434,"0043"
