Boat_ID,Boat wt (g),Stream,Core,Sample_Date,OM_Type,Sorting Date,Dry_Mass,Ashed,Period,NOTES
3SJ,1.648,WS55,3,6/19/18,MOSS,6/21/18,1.6731,1.6481,1,
Q9,1.7462,WS55,3,6/19/18,FLWR,6/21/18,7.0249,2.3212,1,
F02,6.4928,WS55,3,6/19/18,LEAF,6/21/18,11.0943,6.8306,1,
A74,1.8072,WS55,3,6/19/18,ROOT,6/21/18,3.1738,1.8585,1,
F05,6.6095,WS55,3,6/19/18,WOOD,6/21/18,40.6598,7.744,1,
C10,6.648,WS55,3,6/19/18,MISC,6/21/18,76.4296,69.4556,1,
19,1.7519,WS55,2,6/19/18,MOSS,6/26/18,1.7583,1.7517,1,
Q2,1.7413,WS55,2,6/19/18,FLWR,6/26/18,2.0038,1.7554,1,
A12,1.8116,WS55,2,6/19/18,WOOD,6/26/18,4.6266,1.89,1,
A58,1.8169,WS55,2,6/19/18,LEAF,6/26/18,2.4188,1.8535,1,
T01,6.6307,WS55,2,6/19/18,ROOT,6/26/18,10.905,6.822,1,
A93,1.7945,WS55,2,6/19/18,MISC,6/26/18,22.1845,20.1299,1,
B48,3.8508,WS55,5,6/19/18,WOOD,6/26/18,8.1672,3.9706,1,
E48,3.6099,WS55,5,6/19/18,LEAF,6/26/18,4.7512,3.6737,1,
Q1,NA,WS55,5,6/19/18,MOSS,6/26/18,NA,NA,1,NONE
B37,1.7025,WS55,5,6/19/18,FLWR,6/26/18,3.9669,1.7889,1,
F01,6.6039,WS55,5,6/19/18,ROOT,6/26/18,10.711,6.7528,1,
A65,1.8104,WS55,5,6/19/18,MISC,6/26/18,17.0025,13.9499,1,
A44,1.8236,WS55,4,6/19/18,FLWR,7/3/18,4.0202,1.9505,1,
A21,1.8214,WS55,4,6/19/18,ROOT,7/3/18,2.0743,1.8315,1,
B4  ,1.7086,WS55,4,6/19/18,MOSS,7/3/18,1.7113,1.7075,1,
B16,3.8277,WS55,4,6/19/18,LEAF,7/3/18,11.4674,4.2426,1,
F10,6.6415,WS55,4,6/19/18,WOOD,7/3/18,18.4971,7.318,1,
B01,6.6263,WS55,4,6/19/18,MISC,7/3/18,40.8803,29.931,1,
E12,3.6927,TOWR,5,6/19/18,LEAF,7/3/18,5.0615,3.7435,1,
B,NA,TOWR,5,6/19/18,MOSS,7/3/18,NA,NA,1,NONE
TS 4-2,1.6647,TOWR,5,6/19/18,ROOT,7/3/18,1.8262,1.6702,1,
5SJ,1.6463,TOWR,5,6/19/18,FLWR,7/3/18,3.5734,1.7275,1,
2SJ,1.6509,TOWR,5,6/19/18,WOOD,7/3/18,2.1042,1.7048,1,
R4,1.6795,TOWR,5,6/19/18,MISC,7/3/18,5.8582,4.6646,1,
SR 41,1.652,TOWR,4,6/19/18,ROOT,7/4/18,1.6647,1.6521,1,
SR 32,NA,TOWR,4,6/19/18,MOSS,7/4/18,NA,NA,1,NONE
BM 41,1.7319,TOWR,4,6/19/18,FLWR,7/4/18,8.5418,2.7424,1,
F07,6.6256,TOWR,4,6/19/18,WOOD,7/4/18,40.971,7.6407,1,
T03,6.5821,TOWR,4,6/19/18,LEAF,7/4/18,14.579,6.9504,1,
E16,3.7318,TOWR,4,6/19/18,MISC,7/4/18,21.9878,15.3058,1,
B47,3.7273,TOWR,1,6/19/18,WOOD,7/9/18,8.6304,4.2188,1,
B7,3.6959,TOWR,1,6/19/18,LEAF,7/9/18,4.723,3.7551,1,
SR 22,1.6558,TOWR,1,6/19/18,FLWR,7/9/18,2.6243,1.6851,1,
TS 22,NA,TOWR,1,6/19/18,MOSS,7/9/18,NA,NA,1,NONE
A07,6.6076,TOWR,1,6/19/18,ROOT,7/9/18,15.1326,7.135,1,
B56,3.8409,TOWR,1,6/19/18,MISC,7/9/18,53.3966,44.1578,1,
B8,3.7381,TOWR,2,6/19/18,WOOD,7/13/18,11.5155,3.9575,1,
JE 12,1.7501,TOWR,2,6/19/18,ROOT,7/13/18,1.7706,1.7507,1,
45SJ,NA,TOWR,2,6/19/18,MOSS,7/13/18,NA,NA,1,NONE
B,1.7339,TOWR,2,6/19/18,FLWR,7/13/18,2.2585,1.7509,1,
A,1.7281,TOWR,2,6/19/18,LEAF,7/13/18,2.451,1.7554,1,
TS 22,1.6476,TOWR,2,6/19/18,MISC,7/13/18,10.6882,9.5155,1,
BM 32,1.6646,TOWR,3,6/19/18,FLWR,7/13/18,2.6679,1.7236,1,
45SJ,1.6493,TOWR,3,6/19/18,WOOD,7/13/18,5.757,1.8069,1,
SR 32,1.6595,TOWR,3,6/19/18,ROOT,7/13/18,1.6679,1.6597,1,
SR 12,1.669,TOWR,3,6/19/18,LEAF,7/13/18,2.9489,1.7402,1,
JE 11,NA,TOWR,3,6/19/18,MOSS,7/13/18,NA,NA,1,NONE
B5,1.6941,TOWR,3,6/19/18,MISC,7/13/18,18.7374,16.7595,1,
F3,1.6848,WS55,1,6/19/18,FLWR,7/19/18,6.9453,2.3662,1,
735J,1.651,WS55,1,6/19/18,MOSS,7/19/18,NA,NA,1,NONE
18SJ,1.6524,WS55,1,6/19/18,ROOT,7/19/18,NA,NA,1,NONE
B32,3.7595,WS55,1,6/19/18,WOOD,7/19/18,29.9998,4.8697,1,
B12,3.6569,WS55,1,6/19/18,LEAF,7/19/18,7.252,3.8617,1,
,,WS55,1,6/19/18,MISC,7/19/18,25.1282,18.8186,1,
A06,1.8124,TOWR,4,7/18/18,LEAF,7/24/18,4.6608,1.9419,1,
19,1.7515,TOWR,4,7/18/18,MOSS,7/24/18,NA,NA,1,NONE
B,1.7334,TOWR,4,7/18/18,FLWR,7/24/18,9.7159,1.9507,1,
Q2,1.7404,TOWR,4,7/18/18,WOOD,7/24/18,10.8766,2.0433,1,
A07,6.6094,TOWR,4,7/18/18,ROOT,7/24/18,11.7115,6.7995,1,
19,1.7515,TOWR,4,7/18/18,MISC,7/24/18,7.3157,3.4877,1,
B8,3.7368,WS55,5,7/18/18,WOOD,7/24/18,11.8776,3.9463,1,
A74,1.8191,WS55,5,7/18/18,LEAF,7/24/18,3.7188,1.8896,1,
BM 32,1.664,WS55,5,7/18/18,MOSS,7/24/18,NA,NA,1,NONE
BM 4-1,1.7309,WS55,5,7/18/18,FLWR,7/24/18,2.303,1.7533,1,
B5,1.6925,WS55,5,7/18/18,ROOT,7/24/18,2.0224,1.702,1,
BM 3-2,1.664,WS55,5,7/18/18,MISC,7/24/18,3.6081,2.6869,1,
R4,1.6779,TOWR,1,7/18/18,LEAF,7/25/18,3.1121,1.7409,1,
B37,1.7003,TOWR,1,7/18/18,ROOT,7/25/18,2.4359,1.7351,1,
73 SJ,1.6513,TOWR,1,7/18/18,WOOD,7/25/18,5.4235,1.6814,1,
18 SJ,NA,TOWR,1,7/18/18,MOSS,7/25/18,NA,NA,1,NONE
JE 1-1,1.7557,TOWR,1,7/18/18,FLWR,7/25/18,2.3411,1.7786,1,
18SJ,1.6524,TOWR,1,7/18/18,MISC,7/25/18,2.4438,1.8012,1,
5SJ,1.6447,TOWR,3,7/18/18,MISC,7/25/18,2.6053,2.0678,1,
SR 2-2,1.6554,TOWR,3,7/18/18,ROOT,7/25/18,2.0126,1.6737,1,
SR 4-1,1.651,TOWR,3,7/18/18,WOOD,7/25/18,2.2567,1.6806,1,
4SSJ,1.649,TOWR,3,7/18/18,FLWR,7/25/18,3.1545,2.1397,1,
56 SJ,NA,TOWR,3,7/18/18,MOSS,7/25/18,NA,NA,1,NONE
27SJ,1.6527,TOWR,3,7/18/18,LEAF,7/25/18,1.7333,1.6633,1,
56SJ,1.6675,WS55,2,7/18/18,MISC,7/25/18,2.4935,1.9801,1,
B4,1.7074,WS55,2,7/18/18,ROOT,7/25/18,2.085,1.7265,1,
Q5,1.726,WS55,2,7/18/18,WOOD,7/25/18,1.8081,1.7307,1,
TS 4-2,NA,WS55,2,7/18/18,FLWR,7/25/18,NA,NA,1,NONE
TS 2-2,NA,WS55,2,7/18/18,MOSS,7/25/18,NA,NA,1,NONE
2 SJ,1.648,WS55,2,7/18/18,LEAF,7/25/18,1.6877,1.6504,1,
A21,1.8207,TOWR,5,7/18/18,ROOT,7/24/18,3.1013,1.8988,1,
,NA,TOWR,5,7/18/18,MOSS,7/24/18,NA,NA,1,NONE
A44,1.8231,TOWR,5,7/18/18,FLWR,7/24/18,3.6745,2.0298,1,
A12,1.811,TOWR,5,7/18/18,WOOD,7/24/18,4.6478,1.9213,1,
A65,1.8108,TOWR,5,7/18/18,LEAF,7/24/18,2.979,1.8595,1,
A58,1.8164,TOWR,5,7/18/18,MISC,7/24/18,5.8657,4.2971,1,
C10,6.6495,WS55,4,7/18/18,WOOD,7/25/18,28.752,7.389,1,
E16,3.7475,WS55,4,7/18/18,MISC,7/25/18,10.5459,5.8571,1,
TS 4-2,1.6636,WS55,4,7/18/18,ROOT,7/25/18,1.7368,1.6672,1,
TS 2-2,1.6477,WS55,4,7/18/18,LEAF,7/25/18,2.0461,1.6682,1,
Q9,1.7455,WS55,4,7/18/18,FLWR,7/25/18,4.2749,1.8823,1,
A,NA,WS55,4,7/18/18,MOSS,7/25/18,NA,NA,1,NONE
A93,1.795,WS55,3,7/18/18,FLWR,7/25/18,1.9654,1.8077,1,
,NA,WS55,3,7/18/18,MOSS,7/25/18,NA,NA,1,NONE
3 SJ,1.6462,WS55,3,7/18/18,ROOT,7/25/18,1.9035,1.6545,1,
B 47,3.7259,WS55,3,7/18/18,WOOD,7/25/18,15.2482,4.9156,1,
E2,3.6888,WS55,3,7/18/18,LEAF,7/25/18,7.2315,3.8979,1,
R,3.7355,WS55,3,7/18/18,MISC,7/25/18,14.763,8.0387,1,
T10,6.5775,TOWR,2,7/18/18,ROOT,7/26/18,22.544,7.9851,1,
E20,3.6595,TOWR,2,7/18/18,MISC,7/26/18,23.1268,15.9641,1,
B16,3.8255,TOWR,2,7/18/18,FLWR,7/26/18,4.0732,3.836,1,
B56,3.839,TOWR,2,7/18/18,LEAF,7/26/18,3.8828,3.8418,1,
B48,3.8492,TOWR,2,7/18/18,WOOD,7/26/18,7.0651,4.1438,1,
AA,NA,TOWR,2,7/18/18,MOSS,7/26/18,NA,NA,1,NONE
EJ3,13.807,WS55,1,7/18/18,WOOD,7/26/18,80.884,16.3907,1,
E48,3.66,WS55,1,7/18/18,LEAF,7/26/18,4.0622,3.6328,1,
B66,3.7099,WS55,1,7/18/18,ROOT,7/26/18,4.1127,3.7227,1,
B64,3.6188,WS55,1,7/18/18,MISC,7/26/18,17.6831,11.2017,1,
B77,3.646,WS55,1,7/18/18,FLWR,7/26/18,6.6581,4.0468,1,
B78,3.6287,WS55,1,7/18/18,MOSS,7/26/18,3.6351,3.6281,1,
A01,6.6212,TOWR,2,8/15/18,WOOD,8/22/18,63.9074,8.6021,1,
E12,3.687,TOWR,2,8/15/18,ROOT,8/22/18,4.038,3.7106,1,
E16,3.731,TOWR,2,8/15/18,LEAF,8/22/18,5.3184,3.8309,1,
B47,3.7255,TOWR,2,8/15/18,FLWR,8/22/18,9.332,4.0284,1,
E20,3.6616,TOWR,2,8/15/18,MISC,8/22/18,17.0008,10.9245,1,
NA,NA,TOWR,2,8/15/18,MOSS,8/22/18,NA,NA,1,NONE
A07,6.6083,WS55,5,8/15/18,WOOD,8/22/18,54.2038,8.7992,1,
B78,3.6268,WS55,5,8/15/18,ROOT,8/22/18,3.6688,3.6275,1,
B77,3.6467,WS55,5,8/15/18,LEAF,8/22/18,4.7418,3.7024,1,
B8,3.7405,WS55,5,8/15/18,FLWR,8/22/18,19.9416,5.5499,1,
B32,3.769,WS55,5,8/15/18,MISC,8/22/18,15.4983,8.9708,1,
NA,NA,WS55,5,8/15/18,MOSS,8/22/18,NA,NA,1,NONE
C10,6.649,WS55,1,8/15/18,WOOD,8/23/18,39.9682,8.6166,1,
B16,3.8256,WS55,1,8/15/18,ROOT,8/23/18,3.8618,3.8292,1,
B48,3.8498,WS55,1,8/15/18,LEAF,8/23/18,4.7122,3.9108,1,
B56,3.8391,WS55,1,8/15/18,FLWR,8/23/18,6.5854,4.2607,1,
E48,3.6078,WS55,1,8/15/18,MISC,8/23/18,7.9963,5.7897,1,
SR 3-2,1.6586,WS55,1,8/15/18,MOSS,8/23/18,1.6626,1.6592,1,
T03,6.5788,WS55,4,8/15/18,WOOD,8/27/18,13.657,6.8104,1,
B64,3.6219,WS55,4,8/15/18,ROOT,8/27/18,4.8162,3.673,1,
R,3.7208,WS55,4,8/15/18,LEAF,8/27/18,9.4779,4.1314,1,
B7,3.693,WS55,4,8/15/18,FLWR,8/27/18,7.1943,4.0005,1,
B66,3.7134,WS55,4,8/15/18,MISC,8/27/18,12.211,7.9493,1,
18 SJ,1.6531,WS55,4,8/15/18,MOSS,8/27/18,1.654,1.6522,1,
T10,6.582,TOWR,5,8/15/18,WOOD,8/27/18,23.1475,2.1406,1,
A21,1.8228,TOWR,5,8/15/18,ROOT,8/27/18,3.5639,2.0467,1,
A12,1.8119,TOWR,5,8/15/18,LEAF,8/27/18,4.6746,1.9755,1,
A65,1.8115,TOWR,5,8/15/18,FLWR,8/27/18,10.1711,2.2289,1,
A44,1.824,TOWR,5,8/15/18,MISC,8/27/18,15.5088,12.5433,1,
5SJ,1.6444,TOWR,5,8/15/18,MOSS,8/27/18,1.6835,1.6563,1,
B68,3.6765,TOWR,3,8/15/18,WOOD,8/29/18,9.7818,3.875,1,
B12,3.6553,TOWR,3,8/15/18,LEAF,8/29/18,6.3747,3.8189,1,
A74,1.8078,TOWR,3,8/15/18,ROOT,8/29/18,1.8095,1.8065,1,
A06,1.8134,TOWR,3,8/15/18,MISC,8/29/18,9.4187,5.2442,1,
A58,1.8189,TOWR,3,8/15/18,FLWR,8/29/18,5.4062,2.4267,1,
A93,1.8019,TOWR,3,8/15/18,MOSS,8/29/18,1.7985,1.7955,1,
B,1.7328,TOWR,4,8/15/18,WOOD,8/29/18,5.8252,1.8851,1,
JE 1-1,1.7548,TOWR,4,8/15/18,LEAF,8/29/18,2.4722,1.7943,1,
NA,NA,TOWR,4,8/15/18,ROOT,8/29/18,NA,NA,1,NONE
BM 4-1,1.7306,TOWR,4,8/15/18,MISC,8/29/18,5.7648,4.9356,1,
3SJ,1.6454,TOWR,4,8/15/18,FLWR,8/29/18,2.0496,1.7056,1,
NA,NA,TOWR,4,8/15/18,MOSS,8/29/18,NA,NA,1,NONE
SR 4-1,1.6515,WS55,2,8/15/18,WOOD,8/29/18,3.4905,1.7,1,
4SSJ,1.6719,WS55,2,8/15/18,LEAF,8/29/18,1.9905,1.6767,1,
SR 2-2,1.6558,WS55,2,8/15/18,ROOT,8/29/18,1.8618,1.6699,1,
TS 4-2,1.6637,WS55,2,8/15/18,MISC,8/29/18,13.0298,10.7949,1,
56 SJ,1.6448,WS55,2,8/15/18,FLWR,8/29/18,4.4501,1.8648,1,
NA,NA,WS55,2,8/15/18,MOSS,8/29/18,NA,NA,1,NONE
BM 41,1.7314,TOWR,1,8/15/18,WOOD,9/11/18,2.6016,1.7773,1,
4SSJ,1.6496,TOWR,1,8/15/18,LEAF,9/11/18,1.6961,1.6518,1,
R,3.7247,TOWR,1,8/15/18,ROOT,9/11/18,4.417,3.7486,1,
