bag_ID,rhodo_acer,DM_start_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0294,R,1.49,3.6469,4.8934,3.7681,3/6/19,5/8/19,WS37,,,
F0295,R,1.51,3.612,4.6598,3.678,3/6/19,5/8/19,WS37,,,
F0296,R,1.56,3.5136,4.6427,3.5973,3/6/19,5/8/19,WS37,,,
F0297,R,1.51,3.6651,4.6559,3.7614,3/6/19,5/8/19,CWCR,,,
F0298,R,1.52,3.5351,3.6356,3.5502,3/6/19,5/8/19,CWCR,,hole,hole
F0299,R,1.43,3.5448,4.4347,3.613,3/6/19,5/8/19,CWCR,,,
F0300,R,1.54,3.616,4.6587,3.6989,3/6/19,5/8/19,CWCR,,,
F0301,R,1.45,3.5157,4.582,3.5953,3/6/19,5/8/19,WS05,,,
F0302,R,1.44,3.5294,4.5513,3.5834,3/6/19,5/8/19,WS05,,,
F0303,R,1.55,3.5379,4.8323,3.6211,3/6/19,5/8/19,WS05,,,
F0304,R,1.43,3.5431,4.6066,3.6008,3/6/19,5/8/19,WS05,,,
F0305,R,1.46,3.5285,4.5317,3.5924,3/6/19,5/8/19,WS34,,,
F0306,R,1.4,3.555,4.5365,3.6159,3/6/19,5/8/19,WS34,,,
F0307,R,1.45,3.5456,4.5167,3.6358,3/6/19,5/8/19,WS34,,,
F0308,R,1.51,3.6352,4.5932,3.6988,3/6/19,5/8/19,WS34,,,
F0309,R,1.46,3.6473,4.7,3.7503,3/6/19,5/8/19,LCCR,,,
F0310,R,1.4,3.6622,4.684,3.726,3/6/19,5/8/19,LCCR,,,
F0311,R,1.57,3.6413,4.9689,3.7205,3/6/19,5/8/19,LCCR,,,
F0312,R,1.42,3.5336,4.5745,3.6045,3/6/19,5/8/19,LCCR,,,
F0313,R,1.53,3.5732,4.6859,3.649,3/6/19,5/8/19,HNCR,,,
F0314,R,1.53,3.6132,4.6797,3.6966,3/6/19,5/8/19,HNCR,,,
F0315,R,1.41,3.6153,4.6508,3.7136,3/6/19,5/8/19,HNCR,,,
F0316,R,1.54,3.5348,4.8417,3.6246,3/6/19,5/8/19,HNCR,,,
F0317,R,1.58,3.6222,4.9922,3.7757,3/6/19,5/8/19,WS17,,,
F0318,R,1.48,3.5385,4.6074,3.6053,3/6/19,5/8/19,WS17,,,
F0319,R,1.4,3.631,4.5585,3.6877,3/6/19,5/8/19,WS17,,,
F0320,R,1.45,3.6452,4.5836,3.7136,3/6/19,5/8/19,WS17,,,
F0321,R,1.55,3.6672,4.8734,3.7669,3/6/19,5/8/19,WS55,,,
F0322,R,1.58,3.6349,4.8334,3.7019,3/6/19,5/8/19,WS55,,,
F0323,R,1.51,3.6126,4.7209,3.6809,3/6/19,5/8/19,WS55,,,
F0324,R,1.55,3.6594,5.052,3.7474,3/6/19,5/8/19,WS55,,,
F0325,R,1.52,3.5117,4.4605,3.5712,3/6/19,5/8/19,USHF,,hole,hole
F0326,R,1.48,3.6735,4.4378,3.7405,3/6/19,5/8/19,USHF,,,
F0327,R,1.5,NA,NA,NA,3/6/19,5/8/19,USHF,,,
F0328,R,1.59,NA,NA,NA,3/6/19,5/8/19,USHF,,,
F0337,A,1.54,3.5343,4.3682,3.7285,3/6/19,5/8/19,WS17,,,
F0338,A,1.55,3.6318,4.3871,3.7538,3/6/19,5/8/19,WS17,,,
F0339,A,1.43,3.5418,4.2318,3.6281,3/6/19,5/8/19,WS17,,,
F0340,A,1.43,3.5171,4.2533,3.6274,3/6/19,5/8/19,WS17,,,
F0341,A,1.48,3.5336,4.3603,3.6519,3/6/19,5/8/19,WS05,,,
F0342,A,1.5,3.5339,4.264,3.6014,3/6/19,5/8/19,WS05,,,
F0343,A,1.51,3.5313,4.5098,3.7265,3/6/19,5/8/19,WS05,,,
F0344,A,1.53,3.6464,4.6484,3.7684,3/6/19,5/8/19,WS05,,,
F0345,A,1.56,3.5167,4.3373,3.6355,3/6/19,5/8/19,HNCR,,,
F0346,A,1.5,3.6264,4.4351,3.7564,3/6/19,5/8/19,HNCR,,,
F0347,A,1.54,3.6317,4.5439,3.7337,3/6/19,5/8/19,HNCR,,,
F0348,A,1.5,3.5124,4.4548,3.6235,3/6/19,5/8/19,HNCR,,,
F0349,A,1.45,3.5225,4.3214,3.6401,3/6/19,5/8/19,CWCR,,,
F0350,A,1.51,3.6555,4.384,3.7511,3/6/19,5/8/19,CWCR,,,
F0351,A,1.43,3.6445,4.3396,3.7904,3/6/19,5/8/19,CWCR,,,
F0352,A,1.59,3.5505,3.8491,3.5928,3/6/19,5/8/19,CWCR,,hole,hole
F0353,A,1.48,3.527,4.1955,3.608,3/6/19,5/8/19,WS09,,,
F0354,A,1.56,3.5987,4.5051,3.763,3/6/19,5/8/19,WS09,,,
F0355,A,1.51,3.5283,4.2411,3.6172,3/6/19,5/8/19,WS09,,,
F0356,A,1.55,3.6171,4.4462,3.789,3/6/19,5/8/19,WS09,,,
F0357,A,1.44,3.5292,4.3171,3.6132,3/6/19,5/8/19,WS55,,,
F0358,A,1.49,3.5346,4.3942,3.6456,3/6/19,5/8/19,WS55,,,
F0359,A,1.4,3.6466,4.5483,3.836,3/6/19,5/8/19,WS55,,,
F0360,A,1.41,3.6231,4.4088,3.7506,3/6/19,5/8/19,WS55,,,
F0361,A,1.43,3.5242,3.9052,3.5754,3/6/19,5/8/19,USHF,,,
F0362,A,1.51,NA,NA,NA,3/6/19,5/8/19,USHF,,,
F0363,A,1.49,3.5418,4.2403,3.677,3/6/19,5/8/19,USHF,,,
F0364,A,1.4,3.5302,4.2596,3.6845,3/6/19,5/8/19,USHF,,,
F0365,A,1.43,3.6159,4.5449,3.7657,3/6/19,5/8/19,LCCR,,,
F0366,A,1.51,3.5326,4.459,3.6627,3/6/19,5/8/19,LCCR,,,
F0367,A,1.53,3.5319,4.5032,3.6377,3/6/19,5/8/19,LCCR,,,
F0368,A,1.41,3.6648,4.5172,3.7782,3/6/19,5/8/19,LCCR,,,
F0369,A,1.46,3.5502,4.3669,3.6444,3/6/19,5/8/19,WS37,,,
F0370,A,1.51,3.678,4.535,3.7791,3/6/19,5/8/19,WS37,,,
F0371,A,1.52,3.654,4.4782,3.7469,3/6/19,5/8/19,WS37,,,
F0372,A,1.51,3.5493,4.4665,3.7057,3/6/19,5/8/19,WS37,,,
F0373,A,1.44,3.5361,4.3651,3.7127,3/6/19,5/8/19,WS34,,,
F0374,A,1.42,3.5567,4.1831,3.664,3/6/19,5/8/19,WS34,,,
F0375,A,1.59,3.5405,4.2212,3.6638,3/6/19,5/8/19,WS34,,,
F0376,A,1.55,3.5305,4.2347,3.6183,3/6/19,5/8/19,WS34,,,
F0001,R,1.55,3.5719,4.7701,3.6524,4/3/19,6/5/19,WS17,,,
F0002,R,1.42,3.552,4.4959,3.6215,4/3/19,6/5/19,WS17,,,
F0003,R,1.55,3.5573,4.6323,3.6256,4/3/19,6/5/19,WS17,,,
F0004,R,1.52,3.6503,4.8119,3.715,4/3/19,6/5/19,WS17,,,
F0005,R,1.43,3.6635,4.4787,3.719,4/3/19,6/5/19,USHF,,,
F0006,R,1.56,3.5222,4.474,3.5823,4/3/19,6/5/19,USHF,,,
F0007,R,1.44,3.5285,4.3315,3.5806,4/3/19,6/5/19,USHF,,,
F0008,R,1.41,NA,NA,NA,4/3/19,6/5/19,USHF,,,
F0009,R,1.51,3.6052,4.7696,3.6779,4/3/19,6/5/19,WS37,,,
F0010,R,1.57,3.5431,4.6679,3.6211,4/3/19,6/5/19,WS37,,,
F0011,R,1.42,3.5441,4.5047,3.6153,4/3/19,6/5/19,WS37,,,
F0012,R,1.48,3.6026,4.5544,3.6665,4/3/19,6/5/19,WS37,,,
F0013,R,1.42,3.6021,4.4317,3.6518,4/3/19,6/5/19,WS34,,,
F0014,R,1.49,3.5386,4.4879,3.6155,4/3/19,6/5/19,WS34,,,
F0015,R,1.47,3.529,4.495,3.5918,4/3/19,6/5/19,WS34,,,
F0016,R,1.54,3.5045,4.7225,3.5719,4/3/19,6/5/19,WS34,,,
F0017,R,1.46,3.545,4.7397,3.6122,4/3/19,6/5/19,LCCR,,,
F0018,R,1.41,3.6432,4.5676,3.71,4/3/19,6/5/19,LCCR,,,
F0019,R,1.53,3.6132,4.6915,3.68,4/3/19,6/5/19,LCCR,,,
F0020,R,1.41,3.5551,4.602,3.6135,4/3/19,6/5/19,LCCR,,,
F0021,R,1.45,3.6125,4.4608,3.6806,4/3/19,6/5/19,HNCR,,,
F0022,R,1.4,3.616,4.6469,3.6996,4/3/19,6/5/19,HNCR,,,
F0023,R,1.43,3.6235,4.4987,3.6847,4/3/19,6/5/19,HNCR,,,
F0024,R,1.47,3.519,NA,NA,4/3/19,6/5/19,HNCR,,,
F0025,R,1.53,NA,NA,NA,4/3/19,6/5/19,CWCR,,,
F0026,R,1.52,NA,NA,NA,4/3/19,6/5/19,CWCR,,,
F0027,R,1.55,3.543,4.4037,3.5935,4/3/19,6/5/19,CWCR,,,
F0028,R,1.44,3.6258,4.6002,3.6885,4/3/19,6/5/19,CWCR,,,
F0029,R,1.44,3.6718,4.9108,3.7397,4/3/19,6/5/19,WS55,,,
F0030,R,1.45,3.547,4.6131,3.6089,4/3/19,6/5/19,WS55,,,
F0031,R,1.52,3.5568,4.7321,3.6275,4/3/19,6/5/19,WS55,,,
F0032,R,1.45,3.6546,4.7427,3.7172,4/3/19,6/5/19,WS55,,,
F0033,R,1.47,3.6562,4.5422,3.7172,4/3/19,6/5/19,WS09,,,
F0034,R,1.54,3.6145,4.7887,3.7194,4/3/19,6/5/19,WS09,,,
F0035,R,1.5,3.6516,4.5985,3.7198,4/3/19,6/5/19,WS09,,,
F0036,R,1.53,3.6306,4.6039,3.6848,4/3/19,6/5/19,WS09,,,
F0037,R,1.58,3.5978,4.6729,NA,4/3/19,6/5/19,WS05,,,
F0038,R,1.53,3.6629,4.8058,3.743,4/3/19,6/5/19,WS05,,,
F0039,R,1.5,3.642,4.7664,3.7066,4/3/19,6/5/19,WS05,,,
F0040,R,1.44,3.5475,4.755,3.6191,4/3/19,6/5/19,WS05,,,
F0049,A,1.47,3.6091,4.3148,3.6926,4/3/19,6/5/19,WS55,,,
F0050,A,1.44,3.6971,4.4614,3.8146,4/3/19,6/5/19,WS55,,,
F0051,A,1.49,3.6352,4.2921,3.7281,4/3/19,6/5/19,WS55,,,
F0052,A,1.58,3.545,4.2811,3.6839,4/3/19,6/5/19,WS55,,,
F0053,A,1.53,3.5485,4.0281,3.641,4/3/19,6/5/19,WS09,,,
F0054,A,1.49,NA,NA,NA,4/3/19,6/5/19,WS09,,,
F0055,A,1.51,3.6719,4.16,3.7527,4/3/19,6/5/19,WS09,,,
F0056,A,1.4,3.5666,4.1447,3.6884,4/3/19,6/5/19,WS09,,,
F0057,A,1.54,3.525,4.3046,NA,4/3/19,6/5/19,WS05,,,
F0058,A,1.48,3.5426,4.2326,3.6644,4/3/19,6/5/19,WS05,,,
F0059,A,1.44,3.5555,4.3556,3.6867,4/3/19,6/5/19,WS05,,,
F0060,A,1.42,3.5619,4.3981,3.788,4/3/19,6/5/19,WS05,,,
F0061,A,1.57,NA,NA,NA,4/3/19,6/5/19,CWCR,,,
F0062,A,1.53,NA,NA,NA,4/3/19,6/5/19,CWCR,,,
F0063,A,1.54,NA,NA,NA,4/3/19,6/5/19,CWCR,,,
F0064,A,1.41,NA,NA,NA,4/3/19,6/5/19,CWCR,,,
F0065,A,1.45,NA,NA,NA,4/3/19,6/5/19,USHF,,,
F0066,A,1.41,NA,NA,NA,4/3/19,6/5/19,USHF,,,
F0067,A,1.5,NA,NA,NA,4/3/19,6/5/19,USHF,,,
F0068,A,1.53,NA,NA,NA,4/3/19,6/5/19,USHF,,,
F0069,A,1.53,3.6104,4.3753,3.7745,4/3/19,6/5/19,WS17,,,
F0070,A,1.48,3.5378,4.1388,3.6387,4/3/19,6/5/19,WS17,,,
F0071,A,1.59,3.5402,4.3243,3.6462,4/3/19,6/5/19,WS17,,,
F0072,A,1.52,3.6468,4.3576,3.7604,4/3/19,6/5/19,WS17,,,
F0073,A,1.43,3.6591,4.3426,3.742,4/3/19,6/5/19,LCCR,,,
F0074,A,1.55,3.5351,4.365,3.6353,4/3/19,6/5/19,LCCR,,,
F0075,A,1.47,3.6685,4.4485,3.7904,4/3/19,6/5/19,LCCR,,,
F0076,A,1.44,3.5318,4.1623,3.6449,4/3/19,6/5/19,LCCR,,,
F0077,A,1.44,3.5514,4.5389,3.8953,4/3/19,6/5/19,WS34,,,
F0078,A,1.56,3.0391,4.1223,3.7397,4/3/19,6/5/19,WS34,,,
F0079,A,1.5,3.6049,4.2114,3.6852,4/3/19,6/5/19,WS34,,,
F0080,A,1.49,3.6364,4.1465,3.6913,4/3/19,6/5/19,WS34,,,
F0081,A,1.55,3.6503,4.3564,3.7351,4/3/19,6/5/19,WS37,,,
F0082,A,1.44,3.6492,4.3372,3.7285,4/3/19,6/5/19,WS37,,,
F0083,A,1.53,3.6533,4.3019,3.7524,4/3/19,6/5/19,WS37,,,
F0084,A,1.48,3.6402,4.3185,3.774,4/3/19,6/5/19,WS37,,,
F0085,A,1.45,3.6535,4.3213,3.7975,4/3/19,6/5/19,HNCR,,,
F0086,A,1.59,3.6842,4.6935,3.9073,4/3/19,6/5/19,HNCR,,,
F0087,A,1.58,3.5368,4.2449,3.6331,4/3/19,6/5/19,HNCR,,,
F0088,A,1.46,3.6645,4.4824,3.8083,4/3/19,6/5/19,HNCR,,,
F0097,R,1.57,3.6297,4.5749,3.6917,5/8/19,7/10/19,WS17,,,
F0098,R,1.57,3.6183,4.6254,3.7299,5/8/19,7/10/19,WS17,,,
F0099,R,1.49,3.5298,4.5694,3.6138,5/8/19,7/10/19,WS17,,,
F0100,R,1.47,3.5255,4.5435,3.5892,5/8/19,7/10/19,WS17,,,
F0101,R,1.57,3.6645,4.908,3.7418,5/8/19,7/10/19,TOWR,,,
F0102,R,1.51,3.6436,4.6753,3.7041,5/8/19,7/10/19,TOWR,,,
F0103,R,1.41,3.5359,4.4382,3.5856,5/8/19,7/10/19,TOWR,,,
F0104,R,1.52,3.5594,4.6901,3.6452,5/8/19,7/10/19,TOWR,,,
F0105,R,1.45,3.6307,4.4833,3.6878,5/8/19,7/10/19,WS09,,,
F0106,R,1.59,3.5561,4.6455,3.6143,5/8/19,7/10/19,WS09,,,
F0107,R,1.58,3.5258,4.3596,3.5823,5/8/19,7/10/19,WS09,,,
F0108,R,1.53,NA,NA,NA,5/8/19,7/10/19,WS09,,,
F0109,R,1.41,3.5401,4.5597,3.6008,5/8/19,7/10/19,CWCR,,,
F0110,R,1.45,3.5016,4.3328,3.547,5/8/19,7/10/19,CWCR,,,
F0111,R,1.56,3.6604,4.6127,3.7294,5/8/19,7/10/19,CWCR,,,
F0112,R,1.47,3.541,4.6048,3.6104,5/8/19,7/10/19,CWCR,,,
F0113,R,1.58,3.5412,4.6275,3.6081,5/8/19,7/10/19,HNCR,,,
F0114,R,1.48,3.5178,4.6652,3.6032,5/8/19,7/10/19,HNCR,,,
F0115,R,1.59,3.6358,4.6282,3.7114,5/8/19,7/10/19,HNCR,,,
F0116,R,1.46,3.5359,4.445,3.5882,5/8/19,7/10/19,HNCR,,,
F0117,R,1.45,3.5389,4.5202,3.6012,5/8/19,7/10/19,WS55,,,
F0118,R,1.49,3.6473,4.6471,3.7219,5/8/19,7/10/19,WS55,,,
F0119,R,1.55,3.6318,4.7255,3.6878,5/8/19,7/10/19,WS55,,,
F0120,R,1.57,3.5168,4.8688,3.5995,5/8/19,7/10/19,WS55,,,
F0121,R,1.48,3.5508,4.448,3.6322,5/8/19,7/10/19,USHF,,,
F0122,R,1.47,3.5338,4.4383,3.5884,5/8/19,7/10/19,USHF,,,
F0123,R,1.57,3.5468,4.5064,3.6144,5/8/19,7/10/19,USHF,,,
F0124,R,1.47,NA,NA,NA,5/8/19,7/10/19,USHF,,,
F0125,R,1.41,3.6543,4.5404,3.7118,5/8/19,7/10/19,LCCR,,,
F0126,R,1.44,3.6247,4.8217,3.7013,5/8/19,7/10/19,LCCR,,,
F0127,R,1.43,3.6466,4.6933,3.7036,5/8/19,7/10/19,LCCR,,,
F0128,R,1.5,3.6634,4.7266,3.7195,5/8/19,7/10/19,LCCR,,,
F0129,R,1.45,3.6503,4.8397,3.7282,5/8/19,7/10/19,WS34,,,
F0130,R,1.41,3.6343,4.6333,3.711,5/8/19,7/10/19,WS34,,,
F0131,R,1.59,3.5257,4.5753,3.5867,5/8/19,7/10/19,WS34,,,
F0132,R,1.47,3.5246,4.4701,3.5773,5/8/19,7/10/19,WS34,,,
F0133,R,1.42,3.534,4.349,3.5919,5/8/19,7/10/19,WS37,,,
F0134,R,1.54,3.6451,4.5917,3.7038,5/8/19,7/10/19,WS37,,,
F0135,R,1.51,3.6287,4.7011,3.7015,5/8/19,7/10/19,WS37,,,
F0136,R,1.44,3.5454,4.6883,3.6264,5/8/19,7/10/19,WS37,,,
F0145,A,1.51,3.5187,4.0948,3.5754,5/8/19,7/10/19,WS09,,,
F0146,A,1.43,3.6598,4.0747,3.7178,5/8/19,7/10/19,WS09,,,
F0147,A,1.57,3.5179,4.1362,3.6217,5/8/19,7/10/19,WS09,,,
F0148,A,1.53,3.5462,4.0332,3.6209,5/8/19,7/10/19,WS09,,,
F0149,A,1.52,3.6481,4.1001,3.7299,5/8/19,7/10/19,CWCR,,,
F0150,A,1.49,3.5224,3.971,3.6062,5/8/19,7/10/19,CWCR,,,
F0151,A,1.46,3.5112,3.8847,3.5716,5/8/19,7/10/19,CWCR,,,
F0152,A,1.53,3.5375,4.1487,3.6838,5/8/19,7/10/19,CWCR,,,
F0153,A,1.46,3.6337,4.2675,3.7178,5/8/19,7/10/19,TOWR,,,
F0154,A,1.48,3.6757,4.3454,3.7551,5/8/19,7/10/19,TOWR,,,
F0155,A,1.45,3.63,4.251,3.7079,5/8/19,7/10/19,TOWR,,,
F0156,A,1.57,3.6315,4.4323,3.7304,5/8/19,7/10/19,TOWR,,,
F0157,A,1.41,3.6043,4.213,3.7179,5/8/19,7/10/19,WS17,,,
F0158,A,1.47,3.5377,4.1235,3.6676,5/8/19,7/10/19,WS17,,,
F0159,A,1.56,3.6392,4.2513,3.7398,5/8/19,7/10/19,WS17,,,
F0160,A,1.41,3.5396,4.0629,3.6202,5/8/19,7/10/19,WS17,,,
F0161,A,1.41,3.6586,4.3265,3.7322,5/8/19,7/10/19,WS34,,,
F0162,A,1.47,3.5275,3.9413,3.5941,5/8/19,7/10/19,WS34,,,
F0163,A,1.54,3.6268,4.0331,3.7096,5/8/19,7/10/19,WS34,,,
F0164,A,1.45,3.6744,4.1159,3.752,5/8/19,7/10/19,WS34,,,
F0165,A,1.44,3.6548,4.3025,3.7227,5/8/19,7/10/19,WS55,,,
F0166,A,1.48,3.6429,4.3153,3.7032,5/8/19,7/10/19,WS55,,,
F0167,A,1.45,3.5332,4.238,3.6092,5/8/19,7/10/19,WS55,,,
F0168,A,1.53,3.5325,4.193,3.5879,5/8/19,7/10/19,WS55,,,
F0169,A,1.5,3.543,4.0454,3.5896,5/8/19,7/10/19,HNCR,,,
F0170,A,1.54,3.504,4.2067,NA,5/8/19,7/10/19,HNCR,,,
F0171,A,1.59,3.5457,4.2556,3.6466,5/8/19,7/10/19,HNCR,,,
F0172,A,1.58,3.6446,4.4682,3.779,5/8/19,7/10/19,HNCR,,,
F0173,A,1.45,3.5719,4.059,3.6678,5/8/19,7/10/19,USHF,,,
F0174,A,1.45,3.5528,4.1127,3.6548,5/8/19,7/10/19,USHF,,,
F0175,A,1.59,3.539,4.2035,3.6261,5/8/19,7/10/19,USHF,,,
F0176,A,1.5,3.604,4.2153,3.7079,5/8/19,7/10/19,USHF,,,
F0177,A,1.47,3.603,4.394,3.6899,5/8/19,7/10/19,LCCR,,,
F0178,A,1.53,3.6648,4.38,3.7635,5/8/19,7/10/19,LCCR,,,
F0179,A,1.47,3.5286,4.2545,3.6171,5/8/19,7/10/19,LCCR,,,
F0180,A,1.58,3.5564,4.34,3.6486,5/8/19,7/10/19,LCCR,,,
F0181,A,1.44,3.5547,4.178,3.6466,5/8/19,7/10/19,WS37,,,
F0182,A,1.56,3.6311,4.3167,3.7374,5/8/19,7/10/19,WS37,,,
F0183,A,1.55,3.6633,4.3535,3.7602,5/8/19,7/10/19,WS37,,,
F0184,A,1.57,3.5253,4.1265,3.5913,5/8/19,7/10/19,WS37,,,
F0193,R,1.46,3.5277,4.4267,3.6098,6/5/19,8/7/19,WS17,,,
F0194,R,1.55,3.6134,4.6215,3.6846,6/5/19,8/7/19,WS17,,,
F0195,R,1.57,3.5197,4.8663,3.7639,6/5/19,8/7/19,WS17,,,
F0196,R,1.59,3.5319,5.2165,4.0173,6/5/19,8/7/19,WS17,,,
F0197,R,1.54,3.5301,4.5495,3.5894,6/5/19,8/7/19,TOWR,,,
F0198,R,1.44,3.5647,4.6012,3.6323,6/5/19,8/7/19,TOWR,,,
F0199,R,1.49,3.6511,4.6457,3.7283,6/5/19,8/7/19,TOWR,,,
F0200,R,1.49,3.6518,4.8335,3.7297,6/5/19,8/7/19,TOWR,,,
F0201,R,1.58,3.5488,4.6009,3.6201,6/5/19,8/7/19,WS55,,,
F0202,R,1.47,3.6522,4.8239,3.7174,6/5/19,8/7/19,WS55,,,
F0203,R,1.43,3.5508,4.5526,3.6164,6/5/19,8/7/19,WS55,,,
F0204,R,1.4,3.5469,4.5166,3.6069,6/5/19,8/7/19,WS55,,,
F0205,R,1.45,3.5512,4.4052,3.6079,6/5/19,8/7/19,HNCR,,,
F0206,R,1.58,3.6424,4.5652,3.7052,6/5/19,8/7/19,HNCR,,,
F0207,R,1.47,3.5393,4.4418,3.6179,6/5/19,8/7/19,HNCR,,,
F0208,R,1.59,3.5515,4.3088,3.5964,6/5/19,8/7/19,HNCR,,,
F0209,R,1.51,3.5254,4.4087,3.5939,6/5/19,8/7/19,WS09,,,
F0210,R,1.45,3.5225,4.4279,3.586,6/5/19,8/7/19,WS09,,,
F0211,R,1.58,3.5321,4.5332,3.5964,6/5/19,8/7/19,WS09,,,
F0212,R,1.55,3.534,4.6478,3.5943,6/5/19,8/7/19,WS09,,,
F0213,R,1.47,3.5183,4.5947,3.5901,6/5/19,8/7/19,CWCR,,,
F0214,R,1.42,3.6617,4.5507,3.7211,6/5/19,8/7/19,CWCR,,,
F0215,R,1.56,3.5278,4.6076,3.6146,6/5/19,8/7/19,CWCR,,,
F0216,R,1.59,3.632,4.7287,3.6941,6/5/19,8/7/19,CWCR,,,
F0217,R,1.6,3.6304,4.7501,3.7041,6/5/19,8/7/19,WS34,,,
F0218,R,1.43,3.5565,4.5914,3.6624,6/5/19,8/7/19,WS34,,,
F0219,R,1.56,3.6199,4.6824,3.7006,6/5/19,8/7/19,WS34,,,
F0220,R,1.53,3.5366,4.5718,3.6131,6/5/19,8/7/19,WS34,,,
F0221,R,1.48,3.5606,4.5305,3.634,6/5/19,8/7/19,USHF,,,
F0222,R,1.52,3.5274,4.6577,3.5914,6/5/19,8/7/19,USHF,,,
F0223,R,1.6,3.6462,4.8511,3.7394,6/5/19,8/7/19,USHF,,,
F0224,R,1.42,3.5343,4.4624,3.6012,6/5/19,8/7/19,USHF,,,
F0225,R,1.41,3.5292,4.5203,3.5905,6/5/19,8/7/19,LCCR,,,
F0226,R,1.43,3.6593,4.7414,3.7371,6/5/19,8/7/19,LCCR,,,
F0227,R,1.43,3.5352,4.6656,3.6284,6/5/19,8/7/19,LCCR,,,
F0228,R,1.47,3.6479,4.7835,3.7799,6/5/19,8/7/19,LCCR,,,
F0229,R,1.45,3.5181,4.6221,3.6103,6/5/19,8/7/19,WS37,,,
F0230,R,1.55,3.5408,4.5979,3.6036,6/5/19,8/7/19,WS37,,,
F0231,R,1.41,3.6334,4.5121,3.6868,6/5/19,8/7/19,WS37,,,
F0232,R,1.51,3.5404,4.5066,3.6002,6/5/19,8/7/19,WS37,,,
F0241,A,1.43,3.5017,3.8553,3.5656,6/5/19,8/7/19,WS09,,,
F0242,A,1.56,3.5412,3.9779,3.6171,6/5/19,8/7/19,WS09,,,
F0243,A,1.55,3.6647,4.1912,3.7661,6/5/19,8/7/19,WS09,,,
F0244,A,1.51,3.5523,4.0421,3.7101,6/5/19,8/7/19,WS09,,,
F0245,A,1.45,3.6316,4.2179,3.7393,6/5/19,8/7/19,USHF,,,
F0246,A,1.4,3.6359,4.1735,3.7044,6/5/19,8/7/19,USHF,,,
F0247,A,1.5,3.606,4.2836,3.7035,6/5/19,8/7/19,USHF,,,
F0248,A,1.5,3.5407,4.2618,3.6849,6/5/19,8/7/19,USHF,,,
F0249,A,1.4,3.5406,4.04,3.6053,6/5/19,8/7/19,LCCR,,,
F0250,A,1.57,3.6424,4.3808,3.7762,6/5/19,8/7/19,LCCR,,,
F0251,A,1.48,3.5399,4.3618,3.7398,6/5/19,8/7/19,LCCR,,,
F0252,A,1.42,3.675,4.3828,3.7965,6/5/19,8/7/19,LCCR,,,
F0253,A,1.49,3.6398,4.2194,3.7263,6/5/19,8/7/19,WS37,,,
F0254,A,1.56,3.5357,4.3957,3.7665,6/5/19,8/7/19,WS37,,,
F0255,A,1.55,3.6649,4.4388,3.9043,6/5/19,8/7/19,WS37,,,
F0256,A,1.52,3.6508,4.2076,3.7465,6/5/19,8/7/19,WS37,,,
F0257,A,1.55,3.6575,4.3757,3.8138,6/5/19,8/7/19,WS55,,,
F0258,A,1.46,3.6887,4.2899,3.78,6/5/19,8/7/19,WS55,,,
F0259,A,1.58,3.6519,4.5563,3.9469,6/5/19,8/7/19,WS55,,,
F0260,A,1.52,3.6051,4.2868,3.7169,6/5/19,8/7/19,WS55,,,
F0261,A,1.54,3.6498,4.3745,3.9376,6/5/19,8/7/19,CWCR,,,
F0262,A,1.41,3.617,4.0747,3.7412,6/5/19,8/7/19,CWCR,,,
F0263,A,1.58,3.6241,4.2336,3.7485,6/5/19,8/7/19,CWCR,,,
F0264,A,1.46,3.6712,4.5121,3.93,6/5/19,8/7/19,CWCR,,,
F0265,A,1.48,3.6541,4.273,3.7485,6/5/19,8/7/19,WS17,,,
F0266,A,1.49,3.52,4.1165,3.6072,6/5/19,8/7/19,WS17,,,
F0267,A,1.41,3.5473,4.0888,3.6436,6/5/19,8/7/19,WS17,,,
F0268,A,1.47,3.5242,4.1662,3.6569,6/5/19,8/7/19,WS17,,,
F0269,A,1.53,3.5452,4.1898,3.7099,6/5/19,8/7/19,TOWR,,,
F0270,A,1.45,3.6595,4.4547,3.8341,6/5/19,8/7/19,TOWR,,,
F0271,A,1.52,3.6296,4.5161,3.8565,6/5/19,8/7/19,TOWR,,,
F0272,A,1.49,3.5199,4.2956,3.6841,6/5/19,8/7/19,TOWR,,,
F0273,A,1.54,3.6267,4.2872,3.7675,6/5/19,8/7/19,HNCR,,,
F0274,A,1.42,3.63,4.313,3.7614,6/5/19,8/7/19,HNCR,,,
F0275,A,1.43,3.5397,4.3632,3.7368,6/5/19,8/7/19,HNCR,,,
F0276,A,1.44,3.6339,4.1805,3.725,6/5/19,8/7/19,HNCR,,,
F0277,A,1.51,3.5123,4.1845,3.6969,6/5/19,8/7/19,WS34,,,
F0278,A,1.5,3.6489,4.2687,3.772,6/5/19,8/7/19,WS34,,,
F0279,A,1.48,3.6761,4.3355,3.7755,6/5/19,8/7/19,WS34,,,
F0280,A,1.54,3.6548,4.1337,3.7141,6/5/19,8/7/19,WS34,,,
F0289,R,1.54,3.5399,4.6222,3.603,7/10/19,8/30/19,CWCR,,,
F0290,R,1.44,3.5402,4.5677,3.5978,7/10/19,8/30/19,CWCR,,,
F0291,R,1.54,3.5179,4.8034,3.6255,7/10/19,8/30/19,CWCR,,,
