bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0288,A,1.45,0.9807,2.0508,3.0315,2.1521,11/15/17,1/5/18,WS27,,,
F0001,R,1.46,1.3162,3.5368,4.853,3.5965,12/11/17,2/8/18,WS13,,,
F0002,R,1.48,1.3037,3.5121,4.8158,3.5814,12/11/17,2/8/18,WS13,,,
F0003,R,1.43,1.2794,3.5353,4.8147,3.6064,12/11/17,2/8/18,WS13,,,
F0004,R,1.57,#VALUE!,NA,NA,NA,12/11/17,2/8/18,WS13,,,
F0005,R,1.57,1.3333,3.5128,4.8461,3.5776,12/11/17,2/8/18,WS06,,,
F0006,R,1.59,1.2939,3.6322,4.9261,3.693,12/11/17,2/8/18,WS06,,,
F0007,R,1.53,1.2806,3.6633,4.9439,3.7305,12/11/17,2/8/18,WS06,,,
F0008,R,1.57,1.4168,3.5317,4.9485,3.6223,12/11/17,2/8/18,WS06,,,
F0009,R,1.47,1.3740,3.633,5.007,3.6936,12/11/17,2/8/18,WS18,,,
F0010,R,1.5,1.4002,3.6533,5.0535,3.7406,12/11/17,2/8/18,WS18,,,
F0011,R,1.54,1.4364,3.6325,5.0689,3.7415,12/11/17,2/8/18,WS18,,,
F0012,R,1.51,1.3779,3.5177,4.8956,3.5892,12/11/17,2/8/18,WS18,,,
F0013,R,1.6,1.3602,1.7728,3.133,1.8536,12/11/17,2/8/18,WS07,,,
F0014,R,1.51,1.3213,3.523,4.8443,3.6158,12/11/17,2/8/18,WS07,,,
F0015,R,1.43,1.2614,1.7542,3.0156,1.8312,12/11/17,2/8/18,WS07,,,
F0016,R,1.51,1.2762,3.6234,4.8996,3.6878,12/11/17,2/8/18,WS07,,,
F0017,R,1.53,1.4086,3.5256,4.9342,3.5962,12/11/17,2/8/18,WS02,,,
F0018,R,1.57,1.3904,3.5056,4.896,3.575,12/11/17,2/8/18,WS02,,,
F0019,R,1.42,1.2789,3.6226,4.9015,3.6931,12/11/17,2/8/18,WS02,,,
