"","stream","start_date","end_date","mean_temp","sd_temp","deployment","days_in_record"
"67","WS17",2018-08-31,2018-11-02,14.8648684895833,2.35957684248412,1,64
"68","WS17",2018-09-28,2018-12-05,11.369069897343,3.25962651443217,2,69
"69","WS17",2018-11-02,2019-01-07,8.9569303482587,1.73243208920445,3,67
"70","WS17",2018-12-05,2019-02-06,8.53202311197916,1.54659679605099,4,64
"71","WS17",2019-01-07,2019-03-06,8.97259322033898,1.51737209517371,5,59
"72","WS17",2019-02-06,2019-04-03,9.7135235745614,1.11484532591212,6,57
"73","WS17",2019-03-06,2019-05-08,10.9307716471354,1.64508751551238,7,64
"74","WS17",2019-04-03,2019-06-05,12.9660279947917,1.48594960948967,8,64
"75","WS17",2019-05-08,2019-07-10,14.8335327148437,1.14780818734101,9,64
"76","WS17",2019-06-05,2019-08-07,15.8819692382812,0.905334443845998,10,64
"77","WS17",2019-07-10,2019-08-30,16.7947674127661,0.55258746908444,11,52
"78","WS34",2018-08-31,2018-11-02,15.2319291992188,2.38390761167666,1,64
"79","WS34",2018-09-28,2018-12-05,12.5457436594203,4.21890076806108,2,69
"80","WS34",2018-11-02,2019-01-07,9.96229291044776,4.01627251572255,3,67
"81","WS34",2018-12-05,2019-02-06,8.35189388020833,1.59855110908207,4,64
"82","WS34",2019-01-07,2019-03-06,8.93037411723164,1.70486998367578,5,59
"83","WS34",2019-02-06,2019-04-03,9.84040661549707,1.24171840031842,6,57
"84","WS34",2019-03-06,2019-05-08,11.2875234375,1.85974857658371,7,64
"85","WS34",2019-04-03,2019-06-05,13.311611328125,1.39131621548556,8,64
"86","WS34",2019-05-08,2019-07-10,15.0183126627604,1.17355808595622,9,64
"87","WS34",2019-06-05,2019-08-07,16.05602734375,0.933747766117842,10,64
"88","WS34",2019-07-10,2019-08-30,16.8780924908425,0.589010401584509,11,52
"89","WS37",2018-08-31,2018-11-02,14.7742989908854,2.68185449886477,1,64
"90","WS37",2018-09-28,2018-12-05,10.7627358091787,3.50598301791069,2,69
"91","WS37",2018-11-02,2019-01-07,7.44108597636816,1.84279231695421,3,67
"92","WS37",2018-12-05,2019-02-06,5.9765693359375,1.71860420639088,4,64
"93","WS37",2019-01-07,2019-03-06,6.26935081214689,1.88203409609228,5,59
"94","WS37",2019-02-06,2019-04-03,7.31816611842105,1.35057611865494,6,57
"95","WS37",2019-03-06,2019-05-08,9.30332096354167,2.42971143180573,7,64
"96","WS37",2019-04-03,2019-06-05,12.1830130208333,1.95568967428722,8,64
"97","WS37",2019-05-08,2019-07-10,14.5715851236979,1.45902152651021,9,64
"98","WS37",2019-06-05,2019-08-07,15.9039936523437,1.15353252446408,10,64
"99","WS37",2019-07-10,2019-08-30,16.9409479166667,0.639903631536978,11,52
