deployment,date_dep,date_coll
1,9/21/17,11/15/17
2a,10/19/17,12/11/17
2b,10/19/17,12/18/17
3,11/15/17,1/5/18
4a,12/11/17,2/8/18
4b,12/18/17,2/8/18
5,1/11/18,3/8/18
6,2/8/18,4/6/18
7,3/8/18,5/9/18
8,4/6/18,6/6/18
9,5/9/18,7/5/18
10,6/6/18,8/3/18
11,7/5/18,8/31/18
12,8/3/18,9/28/18
