bag_ID,stream,date_dep,date_coll,days_in_record,vial_mass_g,vial_cap_litter_mass_g,dm_g
F0300,TOWR,7/10/19,8/30/19,51,6.5482,6.6164,0.0682
F0301,WS09,7/10/19,8/30/19,51,6.5188,6.6248,0.106
F0302,WS09,7/10/19,8/30/19,51,6.4958,6.6136,0.1178
F0303,WS09,7/10/19,8/30/19,51,6.4986,6.5953,0.0967
F0304,WS09,7/10/19,8/30/19,51,NA,,
F0305,HNCR,7/10/19,8/30/19,51,NA,,
F0306,HNCR,7/10/19,8/30/19,51,6.4266,6.5396,0.113
F0307,HNCR,7/10/19,8/30/19,51,6.5412,6.6291,0.0879
F0308,HNCR,7/10/19,8/30/19,51,6.4384,6.5144,0.076
F0309,WS17,7/10/19,8/30/19,51,6.4024,6.4749,0.0725
F0310,WS17,7/10/19,8/30/19,51,6.4414,6.5254,0.084
F0311,WS17,7/10/19,8/30/19,51,NA,,
F0312,WS17,7/10/19,8/30/19,51,6.5118,6.6295,0.1177
F0313,USHF,7/10/19,8/30/19,51,NA,,
F0314,USHF,7/10/19,8/30/19,51,6.4381,6.5502,0.1121
F0315,USHF,7/10/19,8/30/19,51,6.423,6.5488,0.1258
F0316,USHF,7/10/19,8/30/19,51,6.5023,6.5444,0.0421
F0317,WS37,7/10/19,8/30/19,51,NA,,
F0318,WS37,7/10/19,8/30/19,51,6.5413,6.657,0.1157
F0319,WS37,7/10/19,8/30/19,51,6.4926,6.5918,0.0992
F0320,WS37,7/10/19,8/30/19,51,6.4202,6.5311,0.1109
F0321,WS34,7/10/19,8/30/19,51,6.5074,6.619,0.1116
F0322,WS34,7/10/19,8/30/19,51,NA,,
F0323,WS34,7/10/19,8/30/19,51,6.4736,6.5897,0.1161
F0324,WS34,7/10/19,8/30/19,51,6.4266,6.5517,0.1251
F0325,LCCR,7/10/19,8/30/19,51,NA,,
F0326,LCCR,7/10/19,8/30/19,51,6.396,6.494,0.098
F0327,LCCR,7/10/19,8/30/19,51,6.5528,6.6615,0.1087
F0328,LCCR,7/10/19,8/30/19,51,6.5386,6.5957,0.0571
